"","Mean_Temperature..deg.C..","Mean_Salinity..PSU..","Mean_Oxygen..umol.kg..","Mean_Nitrates.umol.L..","NO2..umol.L...","PO4..umol.L...","NO2NO3..umol.L...","SI..umol.L...","grad_SST_adv"
"7",-0.0434229307348,1.44911934767338,0.781018280639106,-0.543423536104643,-0.370102640241536,-0.804577958146709,-0.68742721000807,-0.47824042726265,-0.350771919593197
"9",0.359481819253979,1.44914545062949,0.335632234100424,-0.673775104130524,-0.396409937466602,-0.790129491247248,-0.679221205253802,-0.481546204732934,-0.329952347606871
"12",-0.392735396798658,1.77736858870671,0.579435355062389,-0.543423536104643,-0.426475420009533,-0.807912219738892,-0.684965408581789,-0.454549022058947,-0.350771919593197
"14",-0.139431129598741,1.64177417292548,0.516298788946254,-0.673775104130524,-0.426475420009533,-0.807912219738892,-0.685786009057216,-0.436367245972384,-0.329952347606871
"15",-0.464170172432676,1.82976244219996,0.657579689866596,-0.543423536104643,-0.200984300937546,-0.741226987895228,-0.676759403827521,-0.412124877856968,-0.350771919593197
"17",-0.0468151596424134,1.63869663440074,0.486947115829926,-0.673775104130524,-0.464057273188198,-0.807912219738892,-0.686606609532643,-0.454549022058947,-0.329952347606871
"19",0.0367543417926872,2.33893127199464,0.488659309093311,-0.626919888280975,-0.426475420009533,-0.819026425046169,-0.68742721000807,-0.475485612704079,-0.433582187832379
"21",0.23015940576132,2.44928543437047,0.332313800676509,-0.703794419435938,-0.464057273188198,-0.819026425046169,-0.684965408581789,-0.467221169028369,-0.338280176401402
"22",0.834737589092686,2.81264445651236,0.0540598803420447,-0.656933150208227,-0.411442678738067,-0.792352332308704,-0.686606609532643,-0.467221169028369,-0.621495043406758
"24",0.964390212592711,2.95266462850113,-0.0760964479077811,-0.554382181141327,-0.426475420009533,-0.791240911777976,-0.688247810483496,-0.465568280293227,-0.433582187832379
"26",0.934742942706102,2.65953952520223,0.0489250023126189,-0.687938323278599,-0.411442678738067,-0.79902085549307,-0.689068410958923,-0.464466354469799,-0.621495043406758
"28",1.13220432897022,2.13106364392475,-0.0340086939011028,-0.646434523599331,-0.464057273188198,-0.760121136917599,-0.689068410958923,-0.449039392941807,-0.724239055160861
"29",1.16636669921977,2.11746791923764,-0.143928882178705,-0.639789523503354,0.550652762635746,-0.718998577280673,-0.636549980531609,-0.438020134707527,-0.371591491579524
"32",1.16751239806535,1.94145242335446,-0.0155260925790489,-0.71745183669481,-0.388893566830869,-0.6078565242079,-0.686606609532643,-0.296973629308739,-0.371591491579524
"34",0.875649782496374,0.572619278391601,0.392088753039939,-0.618233597118742,1.4526172389237,-0.252201954375026,-0.51838351207015,-0.41377776659211,-1.2546484533938
"37",0.90286987107735,0.560083986296242,0.381591360587063,-0.640438435425643,-0.276148007294875,-0.407800828676909,-0.678400604778375,-0.446284578383237,-1.2546484533938
"40",-0.870239139810275,0.014198085870865,-2.71497996542995,1.79045032254325,-0.200984300937546,2.41520731937153,1.81540424004365,2.48924581522903,-0.122416255086863
"41",0.891452896150443,0.597851918434796,-0.450011503361392,-0.552155610728291,2.16667244931832,-0.352229802140522,-0.53643672252954,-0.422593173179534,-1.39608813965197
"44",-0.486952826254357,0.228083097896778,-2.70418880468128,1.07340476837369,2.12909059613966,2.11512377607504,1.23359850296605,1.63304945042545,-1.39608813965197
"46",0.988140275470536,0.61741847680621,0.219381007575089,-0.578265286616528,-0.426475420009533,-0.463371855213295,-0.684144808106362,-0.447386504206665,-1.39608813965197
"48",1.06433980964946,0.431043370218994,0.116139623448879,-0.693299700704083,-0.388893566830869,-0.530057087056959,-0.681683006680082,-0.441876875089525,1.5541851633125
"51",-0.40475100035632,0.150154680168047,-2.70516854532846,0.852873305680363,7.31538633479537,2.11512377607504,1.05224579789673,1.6154186372506,1.5541851633125
"54",1.10441080060292,0.53796434129316,-0.544300767767357,-0.663617152449577,-0.200984300937546,-0.44114344459874,-0.64885898766301,-0.436367245972384,-0.847633529028288
"57",1.36308239073543,0.23041996504205,0.0343145281644146,-0.749332910597703,-0.464057273188198,-0.663427550744287,-0.681683006680082,-0.431408579766958,-0.847633529028288
"59",1.18388186714326,-0.370847272202767,-0.774397685839394,-0.60277342254321,0.0996705244917712,-0.44114344459874,-0.575004944874599,-0.336091996040434,0.151897491970126
"61",1.47996335176939,-0.724512961595192,0.0613281300166235,-0.759728399902726,-0.464057273188198,-0.730112782587951,-0.686606609532643,-0.390637324300121,-0.0591878339527766
"63",1.5476714903477,-0.378920916525935,0.00197490355797871,-0.449044052868571,-0.388893566830869,1.33712940456563,1.66113135066341,0.321757720546098,-0.0591878339527766
"66",1.45870370469206,-0.980746104457485,0.0317729855086398,-0.815124012838301,-0.426475420009533,-0.730112782587951,-0.684144808106362,-0.395595990505548,2.28194220404095
"1",-0.32181987869708,0.577302148716776,0.697416884544862,-0.507309863565877,-0.236217288292544,-0.769984994127808,-0.660449969378414,-0.462744595370693,-0.345567026596616
"2",0.239519947686454,0.626869704637801,0.619345394401458,-0.583277450895317,-0.160061838587444,-0.76024462808768,-0.644755985285877,-0.461895194215134,-0.329952347606871
"67",0.812718340925699,-0.496630891932059,0.110227854651312,-0.627699471438186,-0.351311713652204,-0.618970729515177,-0.650500188613864,-0.334990070217006,1.83947667614415
"69",1.20290141256157,-0.7211737409355,0.0972167840248785,-0.686484746269331,-0.464057273188198,-0.685655961358841,-0.689068410958923,-0.365293030361277,1.83947667614415
"3",-0.174736837239702,1.17420540675016,0.689600992060056,-0.512243412378006,-0.464057273188198,-0.807912219738892,-0.686606609532643,-0.484851982203218,-0.341105689742403
"4",0.672538485951272,1.18723491481443,0.580855236568047,-0.587301548966031,-0.464057273188198,-0.752341193202505,-0.686606609532643,-0.48375005637979,-0.331340319072626
"5",-0.334204131488235,1.40395470787331,0.497388392113973,-0.535946447630709,-0.388893566830869,-0.796798014431614,-0.682503607155509,-0.479342353086078,-0.329952347606871
"6",0.676060988413639,1.50308068368072,0.509677655340276,-0.591314708812282,-0.426475420009533,-0.796798014431614,-0.686606609532643,-0.471077909410367,-0.329952347606871
"155",0.255831167561632,-0.0829642950635798,0.468797541683815,-0.531324710472392,0.137252377670436,0.0478815889214614,-0.221326139965652,-0.407717174563256,-1.04379877463725
"156",-0.745800344722145,-0.542661497300907,-2.72876511521984,0.967952085666092,-0.351311713652204,2.15958059730415,1.27216672531111,0.567487179170548,-1.04379877463725
"157",0.859545977011998,0.106681511923554,0.223796958286637,-0.294648351845878,0.0620886713131066,-0.0632604641513117,-0.180296116194312,-0.446284578383237,-1.04379877463725
"158",0.113727252210555,-0.503463993266356,-1.2014972922755,0.911245111795535,4.04576510825155,1.24821576210741,1.31319674908245,0.0661109295107956,1.90740552985243
"159",-1.24678914297755,-0.639025780352454,-2.67376391246096,2.41927493950611,-0.426475420009533,2.34852208752787,2.5276854527141,1.72450929376998,1.90740552985243
"160",0.819126802761143,-0.602726357019418,0.309013233566753,0.2492541125084,0.738562028529069,0.292394105681562,0.344888188078835,-0.236918671931912,1.90740552985243
"161",1.02758115173771,-0.865953134396054,0.266618245157634,-0.348602494528509,-0.0506568882228872,-0.263316159682303,-0.311592192262599,-0.336091996040434,2.7532345215873
"163",-0.968665598930783,-0.569004600601723,-2.70200696985011,1.95239964338653,-0.388893566830869,2.04843854423138,2.20765126729765,1.48759524173295,2.7532345215873
"164",1.16999297447348,-1.50365357262393,0.200148640071142,-0.553688724529104,-0.313729860473539,-0.518942881749682,-0.615214368170512,-0.418736432797536,2.7532345215873
"166",0.408688882795025,-0.395261367047446,-0.598971059452762,0.192252208858789,1.07679870713705,0.214594668530621,0.188974097747745,-0.18182238076051,-0.853721311728834
"167",-1.10738791191799,-0.598046749563757,-2.72039659584462,2.00825393381169,-0.464057273188198,2.29295106099148,2.43741940041716,1.41597006321013,-0.853721311728834
"168",0.678120701212863,-0.425797257672571,0.0844363093763481,-0.130778041249177,0.700980175350405,0.0145389729996295,-0.0161760211089535,-0.297524592220453,-0.853721311728834
"169",0.155078151321288,0.0100888280060924,0.391185591625616,-0.538256288218061,0.287579790385094,-0.330001391525967,-0.612752566744232,-0.462813465734657,0.37863251019771
"170",-1.02411713443472,-0.635228452813129,-2.69232327059091,1.68367808002139,-0.426475420009533,2.21515162384054,2.15102983449321,0.920103442667516,0.37863251019771
"171",0.533866025885323,0.195544457964525,0.351524947964045,-0.449585025651145,-0.313729860473539,-0.263316159682303,-0.469147483544543,-0.457303836617517,0.37863251019771
"172",0.46731303196926,0.174991642901624,0.325242733277843,-0.60989541351334,-0.464057273188198,-0.696770166666119,-0.68742721000807,-0.473832723968937,-0.828543967451898
"173",-1.69341582325033,-0.891930143737504,0.209213904683068,1.58964658940459,-0.426475420009533,1.57052771601845,1.89254068473377,0.622583470341949,-0.828543967451898
"174",0.726552420636494,0.510396356777133,0.252514777323678,-0.71664390227279,-0.426475420009533,-0.663427550744287,-0.686606609532643,-0.468323094851797,-0.828543967451898
"176",0.786741033194853,0.277856867171032,-0.0768529915367561,-0.467603403812939,-0.0882387414015518,-0.163288311916808,-0.459300277839421,-0.413226803680396,-0.733651334721885
"180",-1.50701968643447,-0.712032485707653,-2.17522385784541,2.61260627536661,-0.388893566830869,1.88172546462222,2.15267103544406,0.726715460655897,0.0299791561901655
"184",1.0291679177445,-0.199419370854974,0.0167264610696775,-0.340958840285891,-0.0130750350442226,-0.185516722531362,-0.241020551375895,-0.391739250123549,-0.98904735413298
"188",0.448115065569617,0.13634295351917,-0.35207024563047,-0.261505953159139,5.0604751440755,-0.0854888747658663,-0.243482352802175,-0.446835541294951,-0.776196794573244
"191",1.03337196211718,-0.203802709758849,0.0687801106583877,-0.349996917006878,0.0620886713131066,-0.229973543760471,-0.286974177999795,-0.390086361388407,-0.98904735413298
