"","Mean_Temperature..deg.C..","Mean_Salinity..PSU..","Mean_Oxygen..umol.kg..","Mean_Nitrates.umol.L..","NO2..umol.L...","PO4..umol.L...","NO2NO3..umol.L...","SI..umol.L...","grad_SST_adv"
"7",18.36839,37.89241,237.8893,1.3440805,0.025,0.013,0.02,0.62,0.6803625
"9",21.4395,37.89245,207.791417,-0.357081,0.018,0.026,0.12,0.56,0.690694
"12",15.705783,38.395417,224.266917,1.3440805,0.01,0.01,0.05,1.05,0.6803625
"14",17.636575,38.187633,220.000333,-0.357081,0.01,0.01,0.04,1.38,0.690694
"15",15.161277,38.475705,229.547682,1.3440805,0.07,0.07,0.15,1.82,0.6803625
"17",18.342533,38.182917,218.016833,-0.357081,0,0.01,0.03,1.05,0.690694
"19",18.979535,39.255952,218.132538,0.254406,0.01,0,0.02,0.67,0.63926875
"21",20.45375,39.425058,207.567167,-0.74885,0,0,0.05,0.82,0.6865614
"22",25.0621,39.981867,188.763583,-0.137284,0.014,0.024,0.03,0.82,0.546018914285714
"24",26.050367,40.196433,179.968,1.201064,0.01,0.025,0.01,0.85,0.63926875
"26",25.824383,39.74725,188.416583,-0.541919,0.014,0.018,0,0.87,0.546018914285714
"28",27.329517,38.937417,182.812167,-0.000271,0,0.053,0,1.15,0.495033247619048
"29",27.589917,38.916583,175.384083,0.08645,0.27,0.09,0.64,1.35,0.670031
"32",27.59865,38.646858,184.061167,-0.927087,0.02,0.19,0.03,3.91,0.670031
"34",25.37395,36.549267,211.606583,0.367767,0.51,0.51,2.08,1.79,0.231823
"37",25.581433,36.530058,210.8972,0.0779813333333333,0.05,0.37,0.13,1.2,0.231823
"40",12.066048,35.693546,1.63999,31.802451,0.07,2.91,30.52,54.48,0.793681666666667
"41",25.494408,36.5879333333333,154.699917,1.230122,0.7,0.42,1.86,1.63,0.161635
"44",14.987618,36.021302,2.369225,22.444602,0.69,2.64,23.43,38.94,0.161635
"46",26.2314,36.617917,199.9355,0.889376,0.01,0.32,0.06,1.18,0.161635
"48",26.812225,36.332317,192.95875,-0.611888,0.02,0.26,0.09,1.28,1.625678
"51",15.614195,35.901885,2.303017,19.566542,2.07,2.64,21.22,38.62,1.625678
"54",27.117663,36.496162,148.328125,-0.224514,0.07,0.34,0.49,1.38,0.4338
"57",29.089367,36.024883,187.42925,-1.343153,0,0.14,0.09,1.47,0.4338
"59",27.723425,35.103505,132.77885,0.569531,0.15,0.34,1.39,3.2,0.9298070625
"61",29.980283,34.56155,189.25475,-1.47882,0,0.08,0.03,2.21,0.825058125
"63",30.496383,35.091133,185.243833,2.575786,0.02,1.94,28.64,15.14,0.825058125
"66",29.818233,34.1689,187.2575,-2.201764,0.01,0.08,0.06,2.12,1.98682
"1",16.246331,36.556443,232.2397628,1.8153843,0.060625,0.044125,0.34875,0.90125,0.682945375
"2",20.5251,36.6324,226.963920428571,0.823964428571429,0.0808888888888889,0.0528888888888889,0.54,0.916666666666667,0.690694
"67",24.89426,34.910755,192.55925,0.244232,0.03,0.18,0.47,3.22,1.767251
"69",27.8684,34.566667,191.68,-0.522949,0,0.12,0,2.67,1.767251
"3",17.36746,37.4711336666667,231.711587704762,1.7509987047619,0,0.01,0.03,0.5,0.685159267857143
"4",23.82575,37.4911,224.362868428571,0.771447678571429,0,0.06,0.03,0.52,0.690005233333333
"5",16.151933,37.8232,218.722423833862,1.44166072275132,0.02,0.02,0.08,0.6,0.690694
"6",23.8526,37.9751,219.552896206349,0.719073678571429,0.01,0.02,0.03,0.75,0.690694
"155",20.649431,35.544655,216.790338,1.501977,0.16,0.78,5.7,1.9,0.336455
"156",13.014573,34.840218,0.70843,21.068385,0.03,2.68,23.9,19.6,0.336455
"157",25.2512,35.835267,200.233917,4.590737,0.14,0.68,6.2,1.2,0.336455
"158",19.566255,34.900284,103.916711,20.328327,1.2,1.86,24.4,10.5,1.80096
"159",9.195825,34.69255,4.42525,40.008967,0.01,2.85,39.2,40.6,1.80096
"160",24.943108,34.748175,205.992583,11.688971,0.32,1,12.6,5,1.80096
"161",26.532035,34.344808,203.127654,3.886605,0.11,0.5,4.6,3.2,2.220694
"163",11.3158,34.79985,2.516667,33.915981,0.02,2.58,35.3,36.3,2.220694
"164",27.617558,33.3676,198.635833,1.210114,0.04,0.27,0.9,1.7,2.220694
"166",21.814577,35.066093,144.633667,10.945064,0.41,0.93,10.7,6,0.430779
"167",10.2584,34.755346,1.27395,34.644911,0,2.8,38.1,35,0.430779
"168",23.8683,35.0193,190.816333,6.729337,0.31,0.75,8.2,3.9,0.430779
"169",19.881449,35.687249,211.54555,1.411516,0.2,0.44,0.93,0.9,1.042322
"170",10.893125,34.698369,3.171063,30.409013,0.01,2.73,34.61,26,1.042322
"171",22.76873,35.97144,208.8654,2.568726,0.04,0.5,2.68,1,1.042322
"172",22.261435,35.939945,207.089325,0.476585,0,0.11,0.02,0.7,0.443273
"173",5.791448,34.305001,199.248437,29.181849,0.01,2.15,31.46,20.6,0.443273
"174",24.237467,36.453917,202.174583,-0.916543,0.01,0.14,0.03,0.8,0.443273
"176",24.69625,36.097575,179.916875,2.333576,0.1,0.59,2.8,1.8,0.4903625
"180",7.212238,34.580675,38.115125,42.53205,0.02,2.43,34.63,22.49,0.869306333333333
"184",26.54413,35.3662,186.2407,3.986359,0.12,0.57,5.46,2.19,0.363624833333333
"188",22.1151,35.88072,161.3185,5.023264,1.47,0.66,5.43,1.19,0.46924975
"191",26.576175,35.359483,189.758333,3.868407,0.14,0.53,4.9,2.22,0.363624833333333
"195",25.221787,35.797875,175.895625,4.458677,0.35,0.49,1.21,1.47,0.486843708333333
"199",26.518986,35.396729,190.724,5.111856,0.16,0.63,6.18,2.52,0.363624833333333
"203",23.706525,36.272675,160.4895,3.67243,0.06,0.56,3.15,1.34,0.1394
"207",26.780158,35.427733,187.302833,4.985942,0.19,0.56,3.73,1.8,0.1394
"210",26.080233,35.135422,176.984778,4.36571,0.28,0.55,5.26,2.74,0.261375
"211",26.074467,35.100467,179.86,2.467162,0.27,0.54,5.08,2.67,0.261375
"212",15.284298,34.36909,225.501338,0.732507,0.02,0.13,0.05,4.45,0.476117994047619
"213",6.689724,34.000507,138.735952,29.0941,0,1.22,17.49,22.34,0.869306333333333
"214",25.173925,35.181842,197.682417,-0.979589,0,0.01,0.01,2.43,0.29217075
"215",13.159842,33.241367,227.686042,4.832723,0.08,0.46,1.3,2.84,0.924746583333333
"216",4.936634,34.329655,8.57745,44.082977,0,3.29,44.24,113.32,0.552394133333333
"217",19.249733,33.099008,224.407583,-0.673592,0,0.29,0.02,1.91,0.4411084
"218",18.594842,34.372667,95.411833,11.003135,0.31,0.88,6.05,4.66,0.995834930555555
"219",8.911481,34.586699,0.628413,35.716708,0.01,2.95,34.55,46.62,0.984197476190476
"220",26.4091,33.884425,195.126917,3.241307,0.07,0.46,2.44,2.54,0.604075985714286
"221",19.048358,34.611755,77.038525,22.087762,0.83,1.11,12.9,8.07,1.00164581423611
"222",8.210557,34.608434,0.78015,36.886053,0.01,3.16,36.22,52.92,1.07265639285714
"223",26.6362,33.407042,196.88275,-1.184318,0,0.16,0,1.19,1.07254766428571
"224",26.62925,28.919008,205.2885,-3.796686,0,0.08,0,0.54,1.34702161071429
"225",27.119358,34.347208,195.523833,-1.723962,0,0.01,0,2.93,1.51544937916667
"226",24.948842,36.172194,192.971638,0.439852,0.02,0.02,0.06,1.17,0.542852196290785
"227",9.756257,35.165658,108.240083,31.851193,0,1.22,20.25,8.62,0.624060077777778
"228",24.96555,36.193733,194.2675,-2.2118,0.02,0,0.05,1.22,1.19842793998016
"229",5.067239,34.969202,230.24915,19.854511,0.01,1.47,21.5,13.73,0.789583443055556
"230",14.11885,35.18335,233.859,3.478193,0.11,0.35,4.38,2.77,1.57039823246528
"231",11.012346,35.402185,138.0832,21.830872,0,1.31,20.03,13.24,0.6447504984375
"232",19.1288,36.4626,214.365,0.859819,0.22,0.02,0.74,0.94,1.38046169372106
"234",18.169021,36.563668,191.752575,4.042901,0.03,0.18,4.13,1.62,0.860883660698976
"233",20.3973,36.5996,212.5623,-0.372786555555556,0.09,0,0.15,0.73,1.53874214267458
"235",10.565417,35.375245,155.156833,21.26922,0.01,1.36,21.11,11.38,0.86100857202691
"236",18.732683,36.4072,220.189917,-1.176123,0.25,0.06,0.68,0.8,1.44069587760155
"237",17.663574,36.240197,230.132971,1.210278,0.04,0,0.17,0.84,1.08688566578332
"238",17.583075,36.3123,228.375583,-0.328716,0.04,0.01,0.17,0.84,1.28464626870763
"239",16.751066,36.162887,228.54515,1.56535,0.01,0.01,0.05,0.63,0.776390601080057
"240",17.260108,36.23775,232.053333,0.334082,0.02,0.01,0.02,0.65,1.06033759830006
"242",14.306744,35.998428,239.361944,3.834402,0.32,0.17,2.26,1.26,0.858920926122685
"241",10.21177,35.539507,175.306683,18.205769,0.011,1.12,18.03,10.38,0.825705396891879
"243",14.28065,35.986042,243.148,2.999226,0.31,0.16,2.16,1.24,0.899709100451695
"70",6.23622,34.831395,88.1626,31.270959,0.007125,1.779625,25.5935,26.077,1.01098955210209
"71",27.323117,35.003133,193.05775,0.4234795,0.0744285714285714,0.510857142857143,5.59014285714286,5.87571428571429,1.363076225
"72",26.965433,35.05375,190.05375,0.4234795,0.02,0,0,2.81,1.363076225
"73",25.308318,35.163345,185.01,0.820273,0.03,0,0.06,2.51,0.8616011015625
"74",25.080167,35.324825,199.895917,-0.166794,0.0822040816326531,0.30669387755102,2.29730612244898,4.55224489795918,1.35017192142857
"76",22.250309,35.335545,207.446227,-0.112031,0,0.08,0.02,1.75,1.501524
"78",7.6502,34.57915,193.011,31.270959,0,1.12,15.24,5.89,1.501524
"79",22.165567,35.334717,210.00775,0.502302333333333,0,0.08,0,1.77,1.501524
"82",21.81495,35.3371904444444,206.43725,0.723117166666667,0.171025510204082,0.321086734693878,2.29266326530612,4.1574056122449,0.734728
"84",8.4127,34.65115,197.9725,30.6682844444444,0.00666666666666667,1.75177777777778,25.2031111111111,24.5217777777778,0.734728
"86",21.81684,35.44666,207.0439,0.680311785714286,0.147628684807256,0.35262641723356,2.79379024943311,4.53959608843537,0.734728
"88",15.01895,35.3315,240.4135,0.680506897959184,0.26,0.37,3.23,2.47,0.868569845918367
"90",15.033492,35.323317,238.916333,2.450991,0.3,0.34,3.34,2.74,1.01190449904337
"92",12.83445,34.845292,249.351417,0.405607,0.171,1.016,7.091,13.88,1.01190449904337
"96",16.787411,35.687803,231.683361,0.727098606292517,0.285,0.227,1.08,2.436,0.216399
"100",7.026748,34.477664,195.168847,25.846888,0.003,1.529,22.08,12.08,0.216399
"102",16.832058,35.68685,231.914833,0.634170020408163,0.25,0.229,1.303,2.601,0.216399
"106",4.216697,34.443883,161.730633,37.7793,0.01,2.522,36.73,44.86,1.326039
"110",19.776808,36.376225,215.650833,0.168013,0.054,0.364,0.986,1.362,1.326039
"114",24.112672,36.603343,194.428431,0.241265,0.011,0.143,0.044,1.319,1.024353
"116",4.673875,34.472575,143.1955,38.448475,0.007,2.618,36.98,34.44,1.024353
"118",25.02619,36.42324,199.1195,0.263475,0.003,0.104,0.018,0.868,1.024353
"120",21.643283,36.724683,203.814833,0.580918,0.015,0.038,0,0.712,0.703743
"124",4.749588,34.369275,192.1655,34.589515,0.001,0.937,12.078,4.386,0.703743
"126",23.349542,37.101367,206.194333,0.030608,0.001,0.056,0,0.814,0.703743
"130",19.30925,36.27495,217.140667,0.478929,0.053,0,0.104,0.319,1.905451
"133",5.8659,34.3629,214.842,29.783185,0,1.946,28.21,13.93,1.905451
"135",19.854083,36.32425,221.47475,-0.385346,0,0,0.017,0.481,1.905451
"139",6.975635,34.057594,306.211529,17.111823,0.135,1.416,19.07,3.078,1.012813
"141",7.321517,34.048642,305.012167,17.091069,0.151,1.301,18.15,1.824,1.012813
"142",1.84402,33.71972,338.2982,24.423039,0.266,1.723,25.3,16.55,0.757043
"143",-0.78154,34.319478,325.402987,33.109231,0.06,2.309,31,81.82,0.216354
"145",0.45883,34.67996,203.8394,38.821249,0.018,2.614,36.37,83.35,0.216354
"146",0.67108,34.35388,343.4373,27.501159,0.107,2.111,28.5,79.52,0.216354
"147",16.40115,34.267975,237.215,0.660123,0.37,1.07,7.55,0.59,1.00649175
"148",18.014508,34.295417,244.861667,-1.485075,0.01,0.52,0.02,0.09,1.01099508333333
"149",21.131962,34.682604,219.174917,-0.39754,0,0.28,0.03,0.09,0.731483
"150",23.799133,35.766117,204.13825,-0.372718,0,0.16,0.02,0.53,0.505937
"151",20.171605,35.845669,210.5781,-0.73316,0.02,0.1,0.05,0.35,0.363686
"152",8.113126,34.362649,155.55759,24.644021,0,2.02,27.29,12.05,0.363686
"153",25.14875,36.402683,200.538167,-1.567491,0,0.2,0.05,0.38,0.363686
"154",23.788833,36.129117,203.995417,-1.737405,0,0.29,0.04,0.55,0.71264
