"","EnvFeature","pelagicBiome_","oceanSeaReg_","pelagicBiomeMRGID_","monthI"
"1","DCM","Westerlies Biome","MS","MEDI","3"
"2","SRF","Westerlies Biome","MS","MEDI","3"
"3","DCM","Westerlies Biome","MS","MEDI","3"
"4","SRF","Westerlies Biome","MS","MEDI","3"
"5","DCM","Westerlies Biome","MS","MEDI","3"
"6","SRF","Westerlies Biome","MS","MEDI","3"
"7","DCM","Westerlies Biome","MS","MEDI","3"
"8","SRF","Westerlies Biome","MS","MEDI","3"
"9","SRF","Coastal Biome ","RS","REDS","0"
"10","DCM","Coastal Biome ","RS","REDS","0"
"11","SRF","Coastal Biome ","RS","REDS","0"
"12","SRF","Coastal Biome ","RS","REDS","0"
"13","DCM","Coastal Biome ","RS","REDS","0"
"14","SRF","Coastal Biome ","RS","REDS","0"
"15","DCM","Coastal Biome ","IO","ARAB","0"
"16","SRF","Coastal Biome ","IO","ARAB","0"
"17","MES","Coastal Biome ","IO","ARAB","0"
"18","DCM","Trades Biome","IO","MONS","0"
"19","MES","Trades Biome","IO","MONS","0"
"20","SRF","Trades Biome","IO","MONS","0"
"21","DCM","Trades Biome","IO","MONS","0"
"22","MES","Trades Biome","IO","MONS","0"
"23","DCM","Trades Biome","IO","MONS","0"
"24","SRF","Trades Biome","IO","MONS","0"
"25","DCM","Trades Biome","IO","MONS","1"
"26","SRF","Trades Biome","IO","MONS","1"
"27","SRF","Trades Biome","IO","MONS","1"
"28","SRF","Trades Biome","IO","ISSG","1"
"29","DCM","Westerlies Biome","NAO","NAST-E","2"
"30","SRF","Westerlies Biome","NAO","NAST-E","2"
"31","DCM","Trades Biome","IO","ISSG","1"
"32","SRF","Trades Biome","IO","ISSG","1"
"33","DCM","Westerlies Biome","MS","MEDI","2"
"34","SRF","Westerlies Biome","MS","MEDI","2"
"35","DCM","Westerlies Biome","MS","MEDI","2"
"36","SRF","Westerlies Biome","MS","MEDI","2"
"37","DCM","Trades Biome","SPO","SPSG","1"
"38","DCM","Trades Biome","SPO","SPSG","1"
"39","SRF","Trades Biome","SPO","SPSG","1"
"40","DCM","Trades Biome","SPO","PEOD","1"
"41","MES","Trades Biome","SPO","PEOD","1"
"42","SRF","Trades Biome","SPO","PEOD","1"
"43","DCM","Coastal Biome ","NPO","CHIL","1"
"44","MES","Coastal Biome ","NPO","CHIL","1"
"45","SRF","Coastal Biome ","NPO","CHIL","1"
"46","DCM","Trades Biome","SPO","SPSG","1"
"47","MES","Trades Biome","SPO","SPSG","1"
"48","SRF","Trades Biome","SPO","SPSG","1"
"49","DCM","Trades Biome","SPO","SPSG","1"
"50","MES","Trades Biome","SPO","SPSG","1"
"51","SRF","Trades Biome","SPO","SPSG","1"
"52","DCM","Trades Biome","SPO","SPSG","1"
"53","MES","Trades Biome","SPO","SPSG","1"
"54","SRF","Trades Biome","SPO","SPSG","1"
"55","DCM","Trades Biome","SPO","SPSG","2"
"56","MES","Trades Biome","SPO","SPSG","2"
"57","SRF","Trades Biome","SPO","SPSG","2"
"58","MIX","Trades Biome","SPO","SPSG","2"
"59","SRF","Trades Biome","SPO","SPSG","2"
"60","MIX","Trades Biome","SPO","SPSG","2"
"61","SRF","Trades Biome","SPO","SPSG","2"
"62","MIX","Trades Biome","SPO","SPSG","2"
"63","SRF","Trades Biome","SPO","SPSG","2"
"64","DCM","Trades Biome","SPO","PEOD","2"
"65","SRF","Trades Biome","SPO","PEOD","2"
"66","DCM","Westerlies Biome","NPO","NPST","3"
"67","MES","Westerlies Biome","NPO","NPST","3"
"68","SRF","Westerlies Biome","NPO","NPST","3"
"69","DCM","Westerlies Biome","NPO","NPST","3"
"70","MES","Westerlies Biome","NPO","NPST","3"
"71","SRF","Westerlies Biome","NPO","NPST","3"
"72","DCM","Trades Biome","NPO","PNEC","3"
"73","MES","Trades Biome","NPO","PNEC","3"
"74","SRF","Trades Biome","NPO","PNEC","3"
"75","DCM","Trades Biome","NPO","PNEC","3"
"76","MES","Trades Biome","NPO","PNEC","3"
"77","SRF","Trades Biome","NPO","PNEC","3"
"78","SRF","Coastal Biome ","NPO","CAMR","3"
"79","SRF","Coastal Biome ","NAO","GUIA","3"
"80","DCM","Coastal Biome ","NAO","CARB","0"
"81","MES","Coastal Biome ","NAO","CARB","0"
"82","SRF","Coastal Biome ","NAO","CARB","0"
"83","MES","Westerlies Biome","NAO","GFST","0"
"84","SRF","Westerlies Biome","NAO","GFST","0"
"85","MES","Westerlies Biome","NAO","NAST-W","0"
"86","SRF","Westerlies Biome","NAO","NAST-W","0"
"87","MES","Westerlies Biome","NAO","NAST-W","0"
"88","SRF","Westerlies Biome","NAO","NAST-W","0"
"89","MES","Westerlies Biome","NAO","NAST-W","0"
"90","SRF","Westerlies Biome","NAO","NAST-W","0"
"91","DCM","Westerlies Biome","NAO","NAST-W","0"
"92","SRF","Westerlies Biome","NAO","NAST-W","0"
"93","DCM","Westerlies Biome","NAO","NAST-E","0"
"94","SRF","Westerlies Biome","NAO","NAST-E","0"
"95","MIX","Westerlies Biome","NAO","NAST-E","0"
"96","MES","Westerlies Biome","NAO","NAST-E","0"
"97","SRF","Westerlies Biome","NAO","NAST-E","0"
"98","MES","Coastal Biome ","IO","EAFR","1"
"99","SRF","Coastal Biome ","IO","EAFR","1"
"100","SRF","Coastal Biome ","IO","EAFR","1"
"101","DCM","Coastal Biome ","IO","EAFR","1"
"102","SRF","Coastal Biome ","IO","EAFR","2"
"103","DCM","Coastal Biome ","IO","EAFR","2"
"104","MES","Coastal Biome ","IO","EAFR","2"
"105","SRF","Coastal Biome ","IO","EAFR","2"
"106","DCM","Coastal Biome ","IO","EAFR","2"
"107","MES","Coastal Biome ","IO","EAFR","2"
"108","SRF","Coastal Biome ","IO","EAFR","2"
"109","DCM","Coastal Biome ","SAO","BENG","2"
"110","SRF","Coastal Biome ","SAO","BENG","2"
"111","SRF","Coastal Biome ","SAO","BENG","2"
"112","DCM","Trades Biome","SAO","SATL","2"
"113","MES","Trades Biome","SAO","SATL","2"
"114","SRF","Trades Biome","SAO","SATL","2"
"115","MES","Trades Biome","SAO","SATL","2"
"116","SRF","Trades Biome","SAO","SATL","2"
"117","DCM","Trades Biome","SAO","SATL","3"
"118","MES","Trades Biome","SAO","SATL","3"
"119","SRF","Trades Biome","SAO","SATL","3"
"120","DCM","Trades Biome","SAO","SATL","3"
"121","MES","Trades Biome","SAO","SATL","3"
"122","SRF","Trades Biome","SAO","SATL","3"
"123","DCM","Trades Biome","SAO","SATL","3"
"124","MES","Trades Biome","SAO","SATL","3"
"125","SRF","Trades Biome","SAO","SATL","3"
"126","DCM","Coastal Biome ","SAO","FKLD","3"
"127","SRF","Coastal Biome ","SAO","FKLD","3"
"128","SRF","Polar Biome","SO","ANTA","0"
"129","DCM","Polar Biome","SO","ANTA","0"
"130","MES","Polar Biome","SO","ANTA","0"
"131","SRF","Polar Biome","SO","ANTA","0"
"132","DCM","Coastal Biome ","SPO","CHIL","0"
"133","SRF","Coastal Biome ","SPO","CHIL","0"
"134","SRF","Trades Biome","SPO","SPSG","0"
"135","SRF","Trades Biome","SPO","SPSG","0"
"136","DCM","Trades Biome","SPO","SPSG","1"
"137","MES","Trades Biome","SPO","SPSG","1"
"138","SRF","Trades Biome","SPO","SPSG","1"
"139","SRF","Trades Biome","SPO","SPSG","1"
