Id,Label,Domain,Phylum,Class,Order,Family,Genus,OTU.rep
5,OTU5,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,X52169.1.1473
3,OTU3,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,KC003383.1.1321
39,OTU39,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,DQ009141.1.1996
19,OTU19,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020549891.3846.5359
2,OTU2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,AACY024102418.157.1623
159,OTU159,Bacteria,Chloroflexi,SAR202 clade,,,,AACY020068177.376.1853
28,OTU28,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,DQ009125.1.1942
31,OTU31,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020481938.3418.4929
7,OTU7,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,EU802925.1.1450
53,OTU53,Bacteria,Proteobacteria,Gammaproteobacteria,Order Incertae Sedis,Family Incertae Sedis,Marinicella,JQ347414.1.1492
12,OTU12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,EF572471.1.1459
41,OTU41,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,AY664087.1.1207
38,OTU38,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,AACY020125842.54.1493
138,OTU138,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group III,,DQ156479.1.1258
4,OTU4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,EU394547.1.1451
9,OTU9,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,GU940990.1.1405
17,OTU17,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AACY020564593.3718.5259
549,OTU549,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,GQ337094.1.1520
830,OTU830,Bacteria,Proteobacteria,Deltaproteobacteria,Sh765B-TzT-29,,,EF646119.1.1485
6,OTU6,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802966.1.1361
186,OTU186,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,FN433412.1.1496
32,OTU32,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802623.1.1438
8,OTU8,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,AY664224.1.1233
54,OTU54,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802563.1.1450
662,OTU662,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,FN433426.1.1497
24,OTU24,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,EU800764.1.1362
18,OTU18,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,AJXC01019507.1.1272
323,OTU323,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,DQ071172.1.1397
13,OTU13,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,AM747321.1.1243
21,OTU21,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,KC001820.1.1315
268,OTU268,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,EU799440.1.1451
22,OTU22,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,EU801991.1.1263
60,OTU60,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU237344.1.1311
59,OTU59,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS2b marine group,FQ032828.26868.28381
11,OTU11,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,FJ745117.1.1319
20,OTU20,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EF572127.1.1520
16,OTU16,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,GQ348500.1.1314
29,OTU29,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,,DQ299286.1.1392
65,OTU65,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802420.1.1442
197,OTU197,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,AY664083.1.1206
335,OTU335,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,EF573025.1.1502
10,OTU10,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU940771.1.1349
27,OTU27,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802362.1.1310
1001,OTU1001,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Marinoscillum,FQ032830.13921.15433
136,OTU136,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,DQ009159.1.1986
23,OTU23,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802280.1.1361
70,OTU70,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,AY664234.1.1252
202,OTU202,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,AY664105.1.1226
30,OTU30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,AACY020487638.121.1594
14,OTU14,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802283.1.1251
40,OTU40,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU940743.1.1341
42,OTU42,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802641.1.1377
34,OTU34,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,KC001946.1.1313
61,OTU61,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,JN547444.1.1442
49,OTU49,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EF572791.1.1441
130,OTU130,Bacteria,Chloroflexi,SAR202 clade,,,,AY907820.1.1458
139,OTU139,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802498.1.1435
35,OTU35,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802424.1.1247
84,OTU84,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,AY664135.1.1215
224,OTU224,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,,HQ673137.1.1450
45,OTU45,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ163443.1.1344
80,OTU80,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802541.1.1287
67,OTU67,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,JX945367.1.1372
134,OTU134,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,,DQ009277.1.1996
47,OTU47,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU800727.1.1251
73,OTU73,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,EU802548.1.1445
209,OTU209,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,FJ745198.1.1365
63,OTU63,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,EF571939.1.1526
100,OTU100,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Sufflavibacter,EU802798.1.1422
125,OTU125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,EU803186.1.1437
50,OTU50,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU803117.1.1251
150,OTU150,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,,EF571926.1.1454
44,OTU44,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ216327.1.1233
