"","Domain","Phylum","Class","Order","Family","Genus","OTU.rep"
"OTU1","undef","undef","undef","undef","undef","undef","unclassified"
"OTU5","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","X52169.1.1473"
"OTU3","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","KC003383.1.1321"
"OTU39","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","DQ009141.1.1996"
"OTU19","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","AACY020549891.3846.5359"
"OTU2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169 marine group","AACY024102418.157.1623"
"OTU159","Bacteria","Chloroflexi","SAR202 clade","","","","AACY020068177.376.1853"
"OTU28","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","DQ009125.1.1942"
"OTU31","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86 clade","","AACY020481938.3418.4929"
"OTU7","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","","","EU802925.1.1450"
"OTU53","Bacteria","Proteobacteria","Gammaproteobacteria","Order Incertae Sedis","Family Incertae Sedis","Marinicella","JQ347414.1.1492"
"OTU12","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169 marine group","EF572471.1.1459"
"OTU41","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","AY664087.1.1207"
"OTU38","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group II","","AACY020125842.54.1493"
"OTU138","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine Group III","","DQ156479.1.1258"
"OTU4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169 marine group","EU394547.1.1451"
"OTU9","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","GU940990.1.1405"
"OTU17","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","AACY020564593.3718.5259"
"OTU549","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","SAR406 clade(Marine group A)","","GQ337094.1.1520"
"OTU830","Bacteria","Proteobacteria","Deltaproteobacteria","Sh765B-TzT-29","","","EF646119.1.1485"
"OTU6","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Prochlorococcus","EU802966.1.1361"
"OTU186","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS4 marine group","FN433412.1.1496"
"OTU32","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","EU802623.1.1438"
"OTU8","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","AY664224.1.1233"
"OTU54","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","EU802563.1.1450"
"OTU662","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","NS5 marine group","FN433426.1.1497"
"OTU24","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","Candidatus Pelagibacter","EU800764.1.1362"
"OTU18","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","AJXC01019507.1.1272"
"OTU323","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","DQ071172.1.1397"
"OTU13","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","","","AM747321.1.1243"
"OTU21","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","","KC001820.1.1315"
"OTU268","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116 clade","","EU799440.1.1451"
"OTU22","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Surface 1","Candidatus Pelagibacter","EU801991.1.1263"
