Id,Label,Domain,Phylum,Class,Order,Family,Genus,OTU.rep,SILVA138_updated_classification,Name,Ecologically_relevant_classification,Ecologically_relevant_classification_aggregated,Ecologically_relevant_classification_aggregated_notes
478,OTU478,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured,EF574734.1.1477,Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;,g_uncultured,Alphaproteobacteria (unclassified),Alpha-other,
1616,OTU1616,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured,FJ545589.1.1505,Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;,g_uncultured,Alphaproteobacteria (unclassified),Alpha-other,
3265,OTU3265,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Cohaesibacter,AACY020536637.961.2423,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Cohaesibacter;,g_Cohaesibacter,Cohaesibacter (Rhizobiaceae),Alpha-other,
795,OTU795,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus,EF574980.1.1467,Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;,g_Defluviicoccus,Defluviicoccus (Alphaproteobacteria),Alpha-other,
568,OTU568,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus,FJ826248.1.1455,Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;,g_Defluviicoccus,Defluviicoccus (Alphaproteobacteria),Alpha-other,
1732,OTU1732,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus,HQ674248.1.1463,Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;,g_Defluviicoccus,Defluviicoccus (Alphaproteobacteria),Alpha-other,
2573,OTU2573,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Henriciella,DQ395891.1.1449,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Henriciella;,g_Henriciella,Henriciella (Caulobacterales),Alpha-other,
2219,OTU2219,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,JX047105.1.1421,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hyphomonas;,g_Hyphomonas,Hyphomonas (Caulobacterales),Alpha-other,
2087,OTU2087,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Martelella,GU086202.1.1390,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Martelella;,g_Martelella,Martelella (Rhizobiaceae),Alpha-other,
2310,OTU2310,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Martelella,HM800924.1.1495,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Martelella;,g_Martelella,Martelella (Rhizobiaceae),Alpha-other,
